"Date","Name","Open","High","Low","Close"
"2017-09-01","EUR to HUF","304.43000","306.63000","303.52000","305.26000"
"2017-08-25","EUR to HUF","303.17000","305.02000","301.47000","304.11000"
"2017-08-18","EUR to HUF","304.36000","304.65000","302.72000","303.18000"
"2017-08-11","EUR to HUF","304.52000","305.92000","303.40000","304.45000"
"2017-08-04","EUR to HUF","304.19000","305.14000","302.62000","304.52000"
"2017-07-28","EUR to HUF","305.18000","306.19000","304.11000","304.36000"
"2017-07-21","EUR to HUF","305.85000","307.26000","304.44000","305.02000"
"2017-07-14","EUR to HUF","307.68000","308.42000","305.37000","305.66000"
"2017-07-07","EUR to HUF","308.38000","309.60000","307.28000","308.32000"
"2017-06-30","EUR to HUF","309.39000","310.29000","308.21000","308.55000"
"2017-06-23","EUR to HUF","307.27000","309.93000","306.66000","309.93000"
"2017-06-16","EUR to HUF","307.11000","308.32000","305.20000","306.99000"
"2017-06-09","EUR to HUF","307.34000","308.88000","306.79000","307.28000"
"2017-06-02","EUR to HUF","307.24000","308.79000","306.71000","308.47000"
"2017-05-26","EUR to HUF","308.14000","309.05000","306.35000","307.50000"
"2017-05-19","EUR to HUF","309.51000","310.77000","307.81000","308.11000"
"2017-05-12","EUR to HUF","311.08000","312.11000","309.28000","310.17000"
"2017-05-05","EUR to HUF","312.70000","313.20000","310.93000","311.26000"
"2017-04-28","EUR to HUF","311.58000","313.37000","310.71000","313.37000"
"2017-04-21","EUR to HUF","312.44000","314.25000","311.95000","311.95000"
"2017-04-14","EUR to HUF","309.53000","313.14000","309.27000","312.81000"
"2017-04-07","EUR to HUF","308.39000","310.77000","307.88000","309.98000"
"2017-03-31","EUR to HUF","310.07000","310.69000","307.33000","308.54000"
"2017-03-24","EUR to HUF","308.16000","310.71000","307.74000","309.50000"
"2017-03-17","EUR to HUF","312.70000","313.16000","307.74000","308.43000"
"2017-03-10","EUR to HUF","308.66000","313.11000","308.42000","312.38000"
"2017-03-03","EUR to HUF","307.88000","309.94000","306.95000","308.81000"
"2017-02-24","EUR to HUF","307.76000","308.97000","306.55000","308.21000"
"2017-02-17","EUR to HUF","308.11000","308.68000","306.79000","307.73000"
"2017-02-10","EUR to HUF","309.29000","310.24000","307.63000","307.76000"
"2017-02-03","EUR to HUF","311.05000","311.64000","308.04000","309.20000"
"2017-01-27","EUR to HUF","309.05000","312.01000","308.93000","311.62000"
"2017-01-20","EUR to HUF","307.08000","309.78000","306.55000","309.16000"
"2017-01-13","EUR to HUF","307.21000","309.69000","306.55000","306.96000"
"2017-01-06","EUR to HUF","308.96000","309.66000","306.54000","306.85000"
"2016-12-30","EUR to HUF","308.93000","311.65000","307.71000","309.01000"
"2016-12-23","EUR to HUF","312.15000","312.27000","308.50000","309.26000"
"2016-12-16","EUR to HUF","314.51000","315.06000","311.42000","311.96000"
"2016-12-09","EUR to HUF","312.47000","315.10000","312.04000","314.80000"
"2016-12-02","EUR to HUF","309.76000","314.58000","309.35000","313.16000"
"2016-11-25","EUR to HUF","309.02000","310.67000","307.56000","309.74000"
"2016-11-18","EUR to HUF","308.89000","311.08000","308.35000","309.06000"
"2016-11-11","EUR to HUF","305.59000","309.82000","304.58000","308.98000"
"2016-11-04","EUR to HUF","309.43000","309.94000","305.34000","306.00000"
"2016-10-28","EUR to HUF","308.51000","309.90000","307.50000","309.21000"
"2016-10-21","EUR to HUF","305.58000","308.78000","305.22000","308.27000"
"2016-10-14","EUR to HUF","304.27000","306.92000","303.28000","305.80000"
"2016-10-07","EUR to HUF","307.88000","308.76000","303.05000","304.42000"
"2016-09-30","EUR to HUF","305.78000","309.90000","305.56000","307.85000"
"2016-09-23","EUR to HUF","308.32000","309.88000","304.83000","305.60000"
"2016-09-16","EUR to HUF","309.25000","310.70000","307.58000","307.70000"
"2016-09-09","EUR to HUF","309.78000","310.17000","307.56000","309.04000"
"2016-09-02","EUR to HUF","308.36000","310.58000","308.07000","309.73000"
"2016-08-26","EUR to HUF","310.16000","310.70000","307.95000","308.65000"
"2016-08-19","EUR to HUF","309.75000","311.35000","308.92000","309.91000"
"2016-08-12","EUR to HUF","310.20000","311.45000","308.81000","309.38000"
"2016-08-05","EUR to HUF","311.08000","312.03000","309.94000","310.66000"
"2016-07-29","EUR to HUF","313.12000","314.10000","310.47000","310.92000"
"2016-07-22","EUR to HUF","315.16000","315.59000","312.70000","313.35000"
"2016-07-15","EUR to HUF","314.04000","315.77000","312.40000","315.33000"
"2016-07-08","EUR to HUF","316.83000","317.25000","313.12000","313.88000"
"2016-07-01","EUR to HUF","317.40000","318.71000","314.67000","316.13000"
"2016-06-24","EUR to HUF","313.70000","321.96000","311.77000","317.71000"
"2016-06-17","EUR to HUF","311.84000","315.73000","311.16000","313.85000"
"2016-06-10","EUR to HUF","311.97000","312.50000","309.69000","311.79000"
"2016-06-03","EUR to HUF","313.75000","314.31000","311.47000","311.78000"
"2016-05-27","EUR to HUF","314.85000","317.80000","313.21000","313.96000"
"2016-05-20","EUR to HUF","315.29000","317.00000","314.04000","314.63000"
"2016-05-13","EUR to HUF","313.91000","316.40000","312.97000","315.22000"
"2016-05-06","EUR to HUF","311.57000","314.48000","310.08000","313.82000"
"2016-04-29","EUR to HUF","310.13000","313.17000","310.04000","311.45000"
"2016-04-22","EUR to HUF","311.15000","311.35000","308.37000","309.99000"
"2016-04-15","EUR to HUF","312.32000","312.69000","309.90000","310.19000"
"2016-04-08","EUR to HUF","313.24000","313.64000","311.24000","312.15000"
"2016-04-01","EUR to HUF","313.69000","315.00000","312.63000","313.18000"
